,code_departement,nom_departement,code_commune,nom_commune,code_qp,nom_qp,id_mutation,id_parcelle,longitude,latitude,date_mutation,jour_mutation,mois_mutation,annee_mutation,nature_mutation,valeur_fonciere,code_type,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,prix_m_carre
0,9,Ariège,9261,Saint-Girons,QP009001,Coeur De Ville,2020-74706,092610000B0487,1.146,42.9844,2020-02-29,29,2,2020,Vente,65000,4,Local industriel. commercial ou assimilé,125,0,0,520.0
1,9,Ariège,9261,Saint-Girons,QP009001,Coeur De Ville,2020-74905,092610000D0203,1.1434,42.9837,2020-03-19,19,3,2020,Vente,76000,2,Appartement,61,3,0,1245.9016393442623
2,9,Ariège,9261,Saint-Girons,QP009001,Coeur De Ville,2020-74931,092610000D0178,1.1434,42.9835,2020-03-19,19,3,2020,Vente,25000,2,Appartement,28,1,0,892.8571428571429
6,9,Ariège,9261,Saint-Girons,QP009001,Coeur De Ville,2020-75149,092610000B0533,1.1467,42.9838,2020-04-20,20,4,2020,Vente,15000,1,Maison,60,2,50,250.0
14,9,Ariège,9261,Saint-Girons,QP009001,Coeur De Ville,2020-76085,092610000B0292,1.1436,42.986,2020-02-11,11,2,2020,Adjudication,7000,1,Maison,36,2,30,194.44444444444446
17,9,Ariège,9261,Saint-Girons,QP009001,Coeur De Ville,2020-76130,092610000D0216,1.1439,42.9834,2020-08-06,6,8,2020,Vente,102500,1,Maison,130,5,152,788.4615384615385
18,9,Ariège,9261,Saint-Girons,QP009001,Coeur De Ville,2020-76453,092610000B0487,1.146,42.9844,2020-10-08,8,10,2020,Vente,18500,2,Appartement,31,1,0,596.7741935483871
19,9,Ariège,9261,Saint-Girons,QP009001,Coeur De Ville,2020-76466,092610000B0663,1.1466,42.9845,2020-10-22,22,10,2020,Vente,105000,1,Maison,100,3,60,1050.0
20,9,Ariège,9261,Saint-Girons,QP009001,Coeur De Ville,2020-76488,092610000D0137,1.1443,42.9819,2020-10-26,26,10,2020,Vente,190000,1,Maison,144,6,421,1319.4444444444443
21,9,Ariège,9261,Saint-Girons,QP009001,Coeur De Ville,2020-76701,092610000B0517,1.1464,42.9832,2020-12-04,4,12,2020,Vente,70000,1,Maison,110,6,60,636.3636363636364
